Season,Player,Salary,times_injured,WS,Pos,OWS,DWS,Age,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,Kyle Lowry,28333334,45,6.4,PG,3.7,2.7,35,4.4,10,2.3,6.1,2.1,3.9,2.3,2.8,0.5,4,4.5,7.5,1.1,0.3,2.7,2.8,13.4
2022,Kyrie Irving,36934550,74,3.3,PG,2.4,0.9,29,10,21.2,3.4,8.2,6.5,13,4.1,4.4,0.6,3.8,4.4,5.8,1.4,0.6,2.5,2.8,27.4
2022,Landry Shamet,9500000,4,2.6,SG,1.1,1.5,24,2.8,7,1.8,4.8,1,2.2,1,1.2,0.2,1.6,1.8,1.6,0.4,0.1,0.6,1.3,8.3
2022,Larry Nance Jr.,9672727,25,2.3,C-PF,1.5,0.8,29,2.8,5.4,0.5,1.5,2.3,3.8,0.9,1.2,1.6,3.8,5.4,1.8,0.9,0.4,0.8,1.8,7
2022,Lauri Markkanen,16475454,10,5,SF,2.7,2.3,24,5.1,11.5,2.2,6.2,2.9,5.3,2.3,2.6,1,4.7,5.7,1.3,0.7,0.5,0.9,2.1,14.8
2022,LeBron James,44474988,50,7.5,PF,5.2,2.3,37,11.4,21.8,2.9,8,8.6,13.8,4.5,6,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3
2022,Lonnie Walker IV,6479000,4,1.2,SG,0.1,1.1,23,4.4,10.9,1.6,5,2.9,5.9,1.7,2.1,0.3,2.3,2.6,2.2,0.6,0.3,1,1.4,12.1
2022,Lonzo Ball,19534884,10,2.2,PG,0.8,1.4,24,4.6,10.9,3.1,7.4,1.5,3.5,0.6,0.8,1,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13
2022,Luguentz Dort,15277778,1,1.4,SG,0.2,1.1,22,5.7,14.2,2.5,7.7,3.2,6.6,3.2,3.7,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2
2022,Luke Kennard,14415545,9,4.5,SG,2.8,1.7,25,4.1,9.1,2.7,6,1.4,3.1,1,1.1,0.3,3,3.3,2.1,0.6,0.1,0.9,1.4,11.9
2022,Luke Kornet,2133278,11,0.4,C,0.2,0.2,26,0.9,1.8,0,0.3,0.9,1.5,0.3,0.4,0.9,1.1,1.9,0.6,0.2,0.2,0,0.6,2
2022,Malcolm Brogdon,22600000,23,2.7,PG,2.2,0.4,29,6.8,15.1,1.6,5.2,5.1,9.9,4,4.6,0.9,4.2,5.1,5.9,0.8,0.4,2.1,2,19.1
2022,Malik Beasley,15558035,9,2.9,SG,1.7,1.2,25,4.2,10.8,3,8.1,1.2,2.7,0.6,0.8,0.3,2.5,2.9,1.5,0.5,0.2,0.5,1.1,12.1
2022,Malik Monk,9472219,1,3.6,SG,2.3,1.4,23,5.1,10.9,2.3,5.8,2.9,5.1,1.2,1.5,0.5,2.9,3.4,2.9,0.8,0.4,1.6,1.8,13.8
2022,Marcus Morris,16372093,28,2.4,PF,0.9,1.5,32,5.6,12.8,1.9,5.1,3.7,7.7,2.4,2.7,0.5,3.9,4.4,2.1,0.5,0.3,1.3,2.1,15.4
2022,Marcus Smart,17207142,21,5.6,PG,1.9,3.7,27,4.2,10.1,1.7,5.1,2.5,5,2,2.5,0.6,3.2,3.8,5.9,1.7,0.3,2.2,2.3,12.1
